Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Mission Hills, KS",Feb-21,$900K,87.50%,2.60%,7,250.00%,133.30%,3,-25.00%,-50.00%,,,,160,36,99,,,
"Mission Hills, KS",Mar-21,"$1,575K",75.00%,38.50%,5,-28.60%,0.00%,5,66.70%,0.00%,,,,73,-87,-14,,,
"Mission Hills, KS",Apr-21,$840K,-46.70%,-22.20%,3,-40.00%,-25.00%,8,60.00%,0.00%,,,,51,-22,23,,,
"Mission Hills, KS",May-21,"$1,175K",39.90%,-16.70%,3,0.00%,50.00%,7,-12.50%,-53.30%,,,,103,52,95,,,
"Mission Hills, KS",Jun-21,"$1,113K",-5.30%,14.10%,8,166.70%,-27.30%,11,57.10%,-8.30%,,,,42,-61,12,,,
"Mission Hills, KS",Jul-21,"$1,137K",2.20%,8.80%,8,0.00%,-52.90%,7,-36.40%,-30.00%,,,,39,-3,3,,,
"Mission Hills, KS",Aug-21,$981K,-13.80%,24.90%,11,37.50%,57.10%,5,-28.60%,-44.40%,,,,49,10,-75,,,
"Mission Hills, KS",Sep-21,"$1,900K",93.80%,76.70%,7,-36.40%,-22.20%,8,60.00%,0.00%,,,,109,60,92,,,
"Mission Hills, KS",Oct-21,"$1,308K",-31.20%,32.80%,6,-14.30%,20.00%,6,-25.00%,0.00%,,,,6,-103,-16,,,
"Mission Hills, KS",Nov-21,$748K,-42.80%,-36.80%,4,-33.30%,-50.00%,3,-50.00%,-50.00%,,,,65,59,15,,,
"Mission Hills, KS",Dec-21,"$1,664K",122.50%,98.10%,4,0.00%,-42.90%,2,-33.30%,100.00%,,,,28,-37,-55,,,
"Mission Hills, KS",Jan-22,"$1,185K",-28.80%,146.90%,5,25.00%,150.00%,1,-50.00%,-75.00%,,,,21,-7,-103,,,
"Mission Hills, KS",Feb-22,"$1,165K",-1.70%,29.40%,4,-20.00%,-42.90%,7,600.00%,133.30%,,,,22,1,-138,,,
"Mission Hills, KS",Mar-22,"$1,563K",34.10%,-0.80%,4,0.00%,-20.00%,7,0.00%,40.00%,,,,14,-8,-59,,,
"Mission Hills, KS",Apr-22,"$1,480K",-5.30%,76.20%,5,25.00%,66.70%,6,-14.30%,-25.00%,,,,25,11,-26,,,
"Mission Hills, KS",May-22,"$1,250K",-15.50%,6.40%,9,80.00%,200.00%,8,33.30%,14.30%,,,,16,-9,-87,,,
"Mission Hills, KS",Jun-22,"$1,325K",6.00%,19.10%,5,-44.40%,-37.50%,12,50.00%,9.10%,,,,39,23,-3,,,
"Mission Hills, KS",Jul-22,"$1,350K",1.90%,18.70%,7,40.00%,-12.50%,6,-50.00%,-14.30%,,,,7,-32,-32,,,
"Mission Hills, KS",Aug-22,"$1,230K",-8.90%,25.40%,6,-14.30%,-45.50%,2,-66.70%,-60.00%,,,,26,19,-23,,,
"Mission Hills, KS",Sep-22,"$1,195K",-2.80%,-37.10%,5,-16.70%,-28.60%,7,250.00%,-12.50%,,,,51,25,-58,,,
"Mission Hills, KS",Oct-22,"$2,147K",79.70%,64.10%,2,-60.00%,-66.70%,6,-14.30%,0.00%,,,,39,-12,33,,,
"Mission Hills, KS",Nov-22,$913K,-57.50%,22.00%,2,0.00%,-50.00%,3,-50.00%,0.00%,,,,23,-16,-42,,,
"Mission Hills, KS",Dec-22,"$1,140K",24.90%,-31.50%,3,50.00%,-25.00%,1,-66.70%,-50.00%,,,,49,26,21,,,
"Mission Hills, KS",Jan-23,"$1,520K",33.30%,28.30%,2,-33.30%,-60.00%,7,600.00%,600.00%,,,,15,-34,-6,,,
"Mission Hills, KS",Feb-23,$579K,-61.90%,-50.30%,1,-50.00%,-75.00%,5,-28.60%,-28.60%,,,,18,3,-4,,,
"Mission Hills, KS",Mar-23,$875K,51.10%,-44.00%,5,400.00%,25.00%,3,-40.00%,-57.10%,,,,52,34,38,,,
"Mission Hills, KS",Apr-23,"$1,500K",71.40%,1.40%,9,80.00%,80.00%,9,200.00%,50.00%,,,,73,21,48,,,
